model,pooling,seq_len,hidden,P_success,mean_best_acc,std_best_acc,mean_steps
gru,last,23,4,0.6666666666666666,0.8470052083333334,0.26499475246008214,500.0
gru,last,23,8,1.0,1.0,0.0,400.0
gru,last,23,12,1.0,1.0,0.0,300.0
gru,last,23,16,1.0,1.0,0.0,400.0
gru,last,23,20,1.0,1.0,0.0,433.3333333333333
gru,last,28,4,0.6666666666666666,0.83984375,0.277398762149703,466.6666666666667
gru,last,28,8,0.3333333333333333,0.685546875,0.27246618778543535,600.0
gru,last,28,12,0.6666666666666666,0.83984375,0.277398762149703,400.0
gru,last,28,16,0.3333333333333333,0.6822916666666666,0.2751504197695307,500.0
gru,last,28,20,0.6666666666666666,0.83984375,0.277398762149703,533.3333333333334
gru,last,33,4,0.6666666666666666,0.849609375,0.2604842034820382,466.6666666666667
gru,last,33,8,0.0,0.5325520833333334,0.0022552744890219838,600.0
gru,last,33,12,0.6666666666666666,0.84375,0.2706329386826371,466.6666666666667
gru,last,33,16,0.0,0.53125,0.0,600.0
gru,last,33,20,0.0,0.53125,0.0,600.0
